problem.name	jprob.name	chrom	peakStart	peakEnd	peakBases	sample.loss.diff	group.loss.diff	str.groups.up	str.groups.down	n.groups.down	n.groups.up	n.samples.up	Input.up	zoomPos
chr10:18024675-38818835	chr10:33166328-33268075	chr10	33184020	33225280	41260	231115.929818768	231115.929818768	kidney		0	1	1	FALSE	chr10:32998350-33410950
chr10:18024675-38818835	chr10:33345739-33692954	chr10	33465652	33619573	153921	840017.276865823	840017.276865823	kidney		0	1	1	FALSE	chr10:32773007-34312217
chr10:18024675-38818835	chr10:35263958-35398170	chr10	35292981	35378194	85213	316212.363279237	316212.363279237	kidney		0	1	1	FALSE	chr10:34909522-35761652
chr10:18024675-38818835	chr10:35398170-35588077	chr10	35418163	35503112	84949	117554.475572084	117554.475572084	kidney		0	1	1	FALSE	chr10:35035892-35885382
chr10:18024675-38818835	chr10:35678933-35959343	chr10	35772403	35865870	93467	431388.241494734	431388.241494734	kidney		0	1	1	FALSE	chr10:35351801-36286471
chr10:18024675-38818835	chr10:38107573-38175941	chr10	38113867	38144904	31037	116432.406859893	116432.406859893	kidney		0	1	1	FALSE	chr10:37974200-38284570
chr10:18024675-38818835	chr10:38203545-38282232	chr10	38233526	38263507	29981	159700.6203647	159700.6203647	kidney		0	1	1	FALSE	chr10:38098611-38398421
chr10:18024675-38818835	chr10:38282232-38369227	chr10	38300958	38354116	53158	276453.61190094	276453.61190094	kidney		0	1	1	FALSE	chr10:38061747-38593327
chr10:18024675-38818835	chr10:38369227-38415654	chr10	38384338	38407881	23543	97988.8138177121	97988.8138177121	kidney		0	1	1	FALSE	chr10:38278394-38513824
chr10:18024675-38818835	chr10:38643191-38650766	chr10	38646902	38648615	1713	19682.8276607047	19682.8276607047	kidney		0	1	1	FALSE	chr10:38639193-38656323
chr10:18024675-38818835	chr10:38672352-38751115	chr10	38696463	38737802	41339	98650.0767048044	98650.0767048044	kidney		0	1	1	FALSE	chr10:38510437-38923827
chr10:18024675-38818835	chr10:38815199-38816357	chr10	38815694	38816169	475	2601.41505863547	2601.41505863547	Input,kidney		0	2	2	TRUE	chr10:38813556-38818306
chr10:18024675-38818835	chr10:38818375-38818835	chr10	38818438	38818533	95	675.495623821937	675.495623821937	Input,kidney		0	2	2	TRUE	chr10:38818010-38818960
